date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens
2026-09-01,2026-09-01-33484160918,india-2311795643,india,the-federal,publish,ok,,1527,140,1527,45,89,308072,234523,73440,3187,375,923,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-8527189458,ai,aws-ml-blog,publish,ok,,2792,154,2792,273,138,522945,461562,61193,4481,324,0,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-9315943568,ai,ars-technica-ai,fetch,failed,http_client_error,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,ai-0529193247,ai,simon-willison,publish,ok,,91,53,91,592,7,146668,113425,33202,1124,192,0,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-8887324117,energy,pv-magazine,publish,ok,,1063,114,1063,2018,55,299463,240524,58855,2365,321,0,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-0034996756,energy,pv-magazine,publish,ok,,791,120,791,617,52,195105,125558,69493,2151,386,923,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-6454971692,energy,electrek,publish,ok,,760,115,760,605,35,176553,114953,61533,2049,341,923,,,,,,,
2026-09-01,2026-09-01-33484160918,energy-2046153715,energy,latitude-media,publish,ok,,964,119,964,1785,30,185976,130373,55516,2199,305,923,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-7137982303,business-economy,business-today-in,publish,ok,not_prose,57,31,57,268,94,127578,106010,21558,1045,125,0,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-7445367714,business-economy,cna-business,publish,ok,,254,70,254,909,97,82737,40370,42358,1317,243,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-8291357315,business-economy,seekingalpha,fetch,failed,http_client_error,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-4612831324,business-economy,seekingalpha,fetch,failed,http_client_error,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-0736842317,business-economy,semafor,publish,ok,,117,53,117,533,24,46664,19996,26659,1116,154,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-9422277661,world,anadolu-world,publish,ok,,270,94,270,5800,214,83660,40474,43177,1318,243,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-7925510374,world,news18-world,fetch,failed,http_client_error,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,world-1916260061,world,guardian-world,publish,ok,,582,72,582,890,67,125197,82767,42419,1731,236,922,,,,,,,
