version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,runner_name,cpu_busy_pct,cpu_busy_max,cpu_busy_min,load_1m,llama_rss_bytes,llama_rss_peak_bytes,python_rss_bytes,cgroup_peak_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,world-zfrbvqx4spr7zfwe,fbf0bddfa4cdb07fbf8e2f98fd1f18fe72673f14b81868ddc3f068e413e39c7b,https://news.cgtn.com/news/2026-09-15/Chinese-defense-minister-talks-with-visiting-Lao-defense-minister--1QrVaY0Isik/p.html,world,cgtn-china,publish,ok,,,1349,203,97,,538,77,227054,58483,168297,5638,855,5078,203,3,True,3,unclassified,2,label,52168,108596,2512,559,2008,summarize_and_plan,6315,59701,3126,296,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,world-npzeh6bz3ckjp1q7,adbee8997f1b272b06e768c88d6b8e064b56f2176cef213a325696dcbf6a0206,https://news.cgtn.com/news/2026-09-14/Exclusive-with-Former-Jordanian-Prime-Minister-Omar-Razzaz-1QqWQOxTEas/p.html,world,cgtn-opnion,publish,ok,,,751,113,58,,12,74,142481,41728,100721,5090,522,4692,113,3,True,1,unclassified,2,label,35364,64158,2350,335,2008,summarize_and_plan,6364,36563,2740,187,2684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,world-ykssrkhq75sv4ag6,f4f39c4e373973b22a0666944be811adfcc1de092f8fc6814ba8893e1768ca92,https://euronews.com/my-europe/2026/09/14/eu-trade-chief-to-visit-manila-to-finalise-philippines-trade-deal,world,euronews,publish,ok,,,2444,392,71,,891,77,638547,104736,533763,7616,2468,6615,392,3,True,8,unclassified,2,label,98322,350650,2958,1650,2008,summarize_and_plan,6414,183113,4658,818,4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-na2bzhaq9h7gknyn,aa84bfc5574c4f09d7d5359ac7ee02a1ca79f903eb46c0a6cc37022ab6b0a08b,https://thehindubusinessline.com/info-tech/samsungs-india-public-policy-chief-rajiv-aggarwal-resigns-sources-say/article71466989.ece,india,thehindu-business,publish,ok,,,1141,180,93,,424,37,288631,66378,221501,6078,1083,5448,180,3,True,5,unclassified,2,label,59960,173394,2582,859,2008,summarize_and_plan,6418,48107,3496,224,3440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-k6ttva8vawjrywdc,99b5ada91b57258f71ac4204efdb437ab3bc3ac14e9ade6e808f930b70571a2e,https://hindustantimes.com/india-news/delhi-hc-declines-to-immediately-restrain-openai-from-scraping-ani-content-101789453038494.html,india,hindustan-times,publish,ok,,,1801,287,92,,125,64,201014,76061,124911,5833,636,5110,287,3,True,5,unclassified,2,label,69579,84176,2675,428,2008,summarize_and_plan,6482,40735,3158,208,3102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-0sjt76vhncdkwb9s,0665a39b71ab1b3e2d3905e31765ab5254b194ab67e1b92082dd678aa77834af,https://thehindu.com/business/Industry/rbi-likely-intervenes-to-shield-rupee-as-oil-prices-climb-traders-say/article71466699.ece,india,thehindu-biz,publish,ok,,,678,116,95,,553,41,245801,66617,179150,5849,882,5213,116,3,True,8,unclassified,2,label,60278,126140,2588,618,2008,summarize_and_plan,6339,53010,3261,264,3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-2h3bm3j7j2gsg8rq,1446ba0e4790a1982317fef7840bfeb6aa25e8bbdb26a1c46611e0885f9b1fae,https://thehindu.com/news/national/bihar/bihar-cm-transfers-579-crore-in-relief-to-flood-affected-people/article71467155.ece,india,the-hindu-national,publish,ok,,,1073,170,87,,76,43,259301,80643,178623,6203,930,5426,170,3,True,10,unclassified,2,label,74310,132049,2729,690,2008,summarize_and_plan,6333,46574,3474,240,3418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-ymy8rtmwzxg4a3a9,f53c8c6a9cff60450d49c65c6e432b3f58f138dddafe6770e5e4d30509461d50,https://thehindu.com/business/Industry/passenger-vehicle-sales-soar-365-in-august-2026-reports-siam/article71466888.ece,india,thehindu-all,publish,ok,,,1350,199,75,,130,40,358713,123480,235187,7160,1209,5972,199,3,True,21,chartable,2,label,117385,158403,3145,820,2008,summarize_and_plan,6095,76784,4015,389,3964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-aghj5y5sa0cbaxxv,542322f8b95018b577bb624daaf97b6de76e9baf9cd248d8d565398a2a453f97,https://thefederal.com/category/news/us-russia-sanctions-bill-amendment-seeks-to-name-india-for-100-per-cent-tariffs-256619,india,the-federal,publish,ok,,,2495,408,74,,3215,83,1334716,114087,1220400,7319,5894,6221,408,3,True,12,chartable,2,label,107972,223665,3055,1159,2008,summarize_and_plan,6115,996735,4264,4735,4213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,india-7nb328f245447dq7,3d563121e2214843b6e7234ec5557eb3987884c0e629976930d6cbbebefa2b7f,https://indiatoday.in/india/story/assams-iron-lady-sanjukta-parashar-becomes-first-woman-to-lead-crpfs-elite-cobra-jungle-warfare-force-2994900-2026-09-15,india,india-today,publish,ok,,,3864,544,72,,665,74,312153,118666,193145,7006,977,5865,544,3,True,3,unclassified,2,label,112225,150875,3093,765,2008,summarize_and_plan,6441,42270,3913,212,3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-eqnzrkt0rqh8q8yz,75ebfc4f40c5e28ba3dfdf08c6c5bd1b6a2f89ebc64c2f334ce4631d8aad3af3,https://developer.nvidia.com/blog/accelerating-dropless-moe-training-in-jax-with-nvidia-transformer-engine,ai,nvidia-technical-blog,publish,ok,not_prose,,14630,2053,54,,1340,61,838529,617051,221251,15767,980,9930,2053,2,True,50,chartable,2,label,609327,140872,7543,631,1757,summarize_and_plan,7724,80379,8224,349,8173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-k0a981g07jjbgaa3,98149406003ca4b82943bb0300b8e9862bb6fab62e6a1b4451c37f5e02bcb694,https://straitstimes.com/opinion/chinas-tutoring-crackdown-has-created-a-black-market,ai,straitstimes-opinion,extract,failed,paywalled,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-jyq2hx8mm3n6wec0,97ae28f514a0ea6e398005208ee53a4df85888852316b768c4ce348b6a193ab8,https://bleepingcomputer.com/news/microsoft/microsoft-releases-emergency-windows-updates-to-fix-rds-failures,ai,bleepingcomputer,publish,ok,,,3716,550,81,,417,28,756529,417857,338585,8870,1630,4773,550,2,True,34,chartable,2,label,411543,148634,4046,728,0,summarize_and_plan,6314,189951,4824,902,4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-1edcbjcm7b2z71ph,0b9ac5c9943ac5f386d1bc4fe13abe4811a9db7a45eb1254755f8938f79392ff,https://theguardian.com/technology/2026/sep/14/microsoft-ai-code-of-conduct,ai,guardian-ai,publish,ok,,,3962,638,89,,397,48,566700,320124,246447,7318,1237,4154,638,2,True,1,narrative,2,label,313550,207905,3108,1047,0,summarize_and_plan,6574,38542,4210,190,4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,
2026-09-15T04:15,2026-09-15,2026-09-15-34943695821,ai-zmdtxg4326tgan1x,fd1baec08311b505543d5a8c71d0a693c44e2ce54fd7ece1e317669825fe6f4e,https://blog.google/innovation-and-ai/technology/developers-tools/devfest2026,ai,google-ai-blog,publish,ok,,,2118,320,53,,393,54,1398047,291024,1106890,6233,5260,3353,320,2,True,6,unclassified,2,label,284885,101971,2829,525,0,summarize_and_plan,6139,1004919,3404,4735,3353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
